zip,primary_city,state,county,latitude,longitude
55072,Sandstone,MN,Pine County,46.12,-92.86
55073,Scandia,MN,Washington County,45.27,-92.82
55074,Shafer,MN,Chisago County,45.38,-92.74
55075,South Saint Paul,MN,Dakota County,44.88,-93.04
55076,Inver Grove Heights,MN,Dakota County,44.82,-93.05
55077,Inver Grove Heights,MN,Dakota County,44.82,-93.07
55078,Stacy,MN,Chisago County,45.39,-92.98
55079,Stacy,MN,Chisago County,45.39,-92.98
55080,Stanchfield,MN,Isanti County,45.66,-93.26
55082,Stillwater,MN,Washington County,45.05,-92.82
55083,Stillwater,MN,Washington County,45.05,-92.82
