zipcode,centile,superzip,rank,adultpop,households,college,income,primary_city,state,county,latitude,longitude
46290,0.9986157303946526,1,1,213,114,100,250001,Indianapolis,IN,Hamilton County,39.94,-86.16
10597,0.9984936339995485,1,2,726,353,94.2,250001,Waccabuc,NY,Westchester County,41.29,-73.6
02815,0.9983249857653524,1,3,155,87,100,214205,Clayville,RI,Providence County,41.77,-71.66
77010,0.9980510345672966,1,4,858,589,89,250001,Houston,TX,Harris County,29.75,-95.36
07078,0.9980205104685205,1,5,8643,4067,88.8,250001,Short Hills,NJ,Essex County,40.74,-74.33
10514,0.9979442002215806,1,6,8736,4046,88.5,250001,Chappaqua,NY,Westchester County,41.17,-73.77
98164,0.9979442002215806,1,7,127,85,88.5,250001,Seattle,WA,King County,47.61,-122.33
07846,0.9978752628929598,1,8,22,13,90.9,207969,Johnsonburg,NJ,Warren County,40.97,-74.88
02468,0.9978644529936597,1,9,4143,1924,89.7,212394,Waban,MA,Middlesex County,42.32,-71.23
60043,0.9977128476688866,1,10,1734,812,91,203750,Kenilworth,IL,Cook County,42.09,-87.71
07311,0.9972802924450067,1,11,403,222,90.7,189750,Jersey City,NJ,Hudson County,40.72,-74.03
60022,0.9971983901397826,1,12,6038,3068,86.6,204118,Glencoe,IL,Cook County,42.13,-87.76
20812,0.9971949531588018,1,13,229,100,89,192500,Glen Echo,MD,Montgomery County,38.97,-77.14
19066,0.9971742237902189,1,14,4362,1773,87.2,198828,Merion Station,PA,Montgomery County,40,-75.24
10282,0.9971353116040169,1,15,3967,2412,84.2,250001,New York,NY,New York County,40.72,-74.02
79326,0.9971003353551531,1,16,102,66,84.3,236000,Fieldton,TX,Lamb County,34.08,-102.22
10162,0.9970245240645704,1,17,955,655,89.7,182530,New York,NY,New York County,40.77,-73.95
20816,0.9969651319879642,1,18,11965,6079,87,192066,Bethesda,MD,Montgomery County,38.96,-77.12
94028,0.9969054904331796,1,19,5331,2641,83.4,244671,Portola Valley,CA,San Mateo County,37.37,-122.21
94024,0.9968822145136333,1,20,17402,7816,83.9,220970,Los Altos,CA,Santa Clara County,37.34,-122.11
94105,0.9967630388867607,1,21,6856,4404,85.2,199364,San Francisco,CA,San Francisco County,37.79,-122.39
