zipcode,centile,superzip,rank,adultpop,households,college,income,primary_city,state,county,latitude,longitude
06883,0.9967134415403478,1,22,7180,3448,83.2,219868,Weston,CT,Fairfield County,41.22,-73.37
33109,0.9965236724639086,1,23,431,264,88.4,177000,Miami Beach,FL,Miami-Dade County,25.76,-80.14
19437,0.9965185966183743,1,24,760,360,82.6,225598,Gwynedd Valley,PA,Montgomery County,40.18,-75.26
02481,0.9964552513480374,1,25,11557,4736,85.3,187819,Wellesley Hills,MA,Norfolk County,42.31,-71.27
07043,0.9963223450536334,1,26,9074,4133,84.4,191449,Montclair,NJ,Essex County,40.84,-74.2
40025,0.9962806368382895,1,27,36,19,81.8,250001,Glenview,KY,Jefferson County,38.3,-85.65
10504,0.9961874084210156,1,28,5787,2653,82.3,213234,Armonk,NY,Westchester County,41.13,-73.71
94022,0.9961676942215398,1,29,14899,7239,82.5,208984,Los Altos,CA,Santa Clara County,37.36,-122.14
02030,0.9961435278719761,1,30,4290,2011,82.7,204018,Dover,MA,Norfolk County,42.24,-71.27
07046,0.9961358882190858,1,31,2948,1404,86.1,175556,Mountain Lakes,NJ,Morris County,40.89,-74.44
20896,0.9961248288416071,1,32,669,323,83.7,191875,Garrett Park,MD,Montgomery County,39.04,-77.09
94129,0.995924641339528,1,33,2872,1284,83.1,190167,San Francisco,CA,San Francisco County,37.79,-122.46
08550,0.9959092545510508,1,34,14747,6557,82.5,200049,Princeton Junction,NJ,Mercer County,40.28,-74.61
02493,0.9957988584852646,1,35,8753,3764,82.4,196651,Weston,MA,Middlesex County,42.36,-71.3
10280,0.9957735349711123,1,36,7853,4747,89,161419,New York,NY,New York County,40.71,-74.02
02210,0.9957679429128281,1,37,2456,1543,85.6,170152,Boston,MA,Suffolk County,42.35,-71.04
02459,0.9957365283840345,1,38,15178,6680,85.5,169963,Newton Center,MA,Middlesex County,42.31,-71.19
07970,0.9957105984308283,1,39,168,51,80.7,233750,Mount Freedom,NJ,Morris County,40.81,-74.57
77005,0.9956015917514167,1,40,21407,10114,83.1,180758,Houston,TX,Harris County,29.72,-95.42
06820,0.9955715838653905,1,41,14671,6703,81,208848,Darien,CT,Fairfield County,41.05,-73.47
20854,0.9955474175158269,1,42,37207,16509,81.4,203952,Potomac,MD,Montgomery County,39.02,-77.19
60093,0.9955362161428662,1,43,13793,6906,84.2,173919,Winnetka,IL,Cook County,42.1,-87.74
22101,0.9954964135266466,1,44,21666,10457,82.2,190009,Mc Lean,VA,Fairfax County,38.94,-77.19
01741,0.9954950068838795,1,45,3963,1773,84.7,170703,Carlisle,MA,Middlesex County,42.53,-71.35
01718,0.9954503606439116,1,46,523,240,86.8,160750,Village Of Nagog Woods,MA,Middlesex County,42.52,-71.43
11724,0.9953713963633115,1,47,2489,1049,80.7,207656,Cold Spring Harbor,NY,Suffolk County,40.86,-73.44
10518,0.9953347639935018,1,48,1043,425,81.5,193472,Cross River,NY,Westchester County,41.26,-73.59
22066,0.9953075521366175,1,49,13420,5867,80.1,218638,Great Falls,VA,Fairfax County,39.01,-77.28
75225,0.9952911329226408,1,50,15973,8846,83.3,173828,Dallas,TX,Dallas County,32.86,-96.79
20817,0.9952729501050215,1,51,27862,13287,82.1,185135,Bethesda,MD,Montgomery County,38.98,-77.12
19085,0.9950744187238884,1,52,7447,1901,80.9,193375,Villanova,PA,Delaware County,40.03,-75.35
07021,0.9950366464458825,1,53,1515,728,80.6,198750,Essex Fells,NJ,Essex County,40.82,-74.28
20015,0.9950339578994373,1,54,11938,6437,86.6,158401,Washington,DC,District of Columbia,38.97,-77.06
01770,0.9950075117334813,1,55,3040,1480,82.9,170872,Sherborn,MA,Middlesex County,42.23,-71.36
10005,0.9949075340933349,1,56,7745,4239,88.5,154213,New York,NY,New York County,40.71,-74.01
94708,0.9949010516050332,1,57,9529,4855,85.4,159046,Berkeley,CA,Alameda County,37.9,-122.26
95837,0.9948999289532295,1,58,188,96,78.7,225000,Sacramento,CA,Sacramento County,38.69,-121.6
03750,0.99481902456072,1,59,593,250,82.7,168100,Etna,NH,Grafton County,43.71,-72.19
19035,0.9948050444150099,1,60,3001,1512,80.2,195862,Gladwyne,PA,Montgomery County,40.04,-75.28
02461,0.9947690357406467,1,61,5479,2683,84.6,159517,Newton Highlands,MA,Middlesex County,42.32,-71.21
94027,0.9946628596031624,1,62,5775,2399,78.2,250001,Atherton,CA,San Mateo County,37.45,-122.2
94563,0.9946005295019323,1,63,14641,6929,80.6,185066,Orinda,CA,Contra Costa County,37.89,-122.19
98039,0.9945583050738387,1,64,2326,1175,80.4,186484,Medina,WA,King County,47.62,-122.23
22213,0.9945318416514901,1,65,2516,1295,82.6,165341,Arlington,VA,Arlington County,38.9,-77.16
01778,0.9945201413221725,1,66,10197,5044,82.5,166548,Wayland,MA,Middlesex County,42.36,-71.36
94957,0.9944923057698417,1,67,959,432,78,243214,Ross,CA,Marin County,37.96,-122.56
10006,0.9944097279999938,1,68,3027,1815,93.2,145893,New York,NY,New York County,40.71,-74.01
20004,0.9941818124282807,1,69,1610,1163,93.5,144583,Washington,DC,District of Columbia,38.89,-77.03
22308,0.9940898831710774,1,70,9321,4478,80.4,175347,Alexandria,VA,Fairfax County,38.73,-77.06
10804,0.9940718250925473,1,71,11087,4975,79.6,179527,New Rochelle,NY,Westchester County,40.94,-73.78
06870,0.9940237591279911,1,72,5137,2506,77.3,217361,Old Greenwich,CT,Fairfield County,41.03,-73.56
90272,0.9940152290450832,1,73,17171,9094,79.3,180962,Pacific Palisades,CA,Los Angeles County,34.07,-118.54
10007,0.9940030297594085,1,74,5662,2761,76.8,242644,New York,NY,New York County,40.71,-74.01
22205,0.9938904613599266,1,75,13799,6690,79.2,180405,Arlington,VA,Arlington County,38.88,-77.14
02421,0.9938767134360027,1,76,13724,6697,82.4,158554,Lexington,MA,Middlesex County,42.44,-71.23
08558,0.9938497683136895,1,77,5415,2579,77.9,201964,Skillman,NJ,Somerset County,40.41,-74.7
02420,0.9938413629698709,1,78,10922,5058,80.6,168065,Lexington,MA,Middlesex County,42.46,-71.22
10506,0.993765194718413,1,79,4124,1997,76.7,217607,Bedford,NY,Westchester County,41.19,-73.64
22039,0.993702490399915,1,80,13809,5884,77.2,204063,Fairfax Station,VA,Fairfax County,38.76,-77.31
10583,0.993701849448076,1,81,29120,13677,78.4,186053,Scarsdale,NY,Westchester County,40.98,-73.77
10538,0.9936322711676162,1,82,11906,5898,80.5,165735,Larchmont,NY,Westchester County,40.92,-73.75
20839,0.9936283352302779,1,83,42,23,78.6,178661,Beallsville,MD,Montgomery County,39.19,-77.43
22207,0.9936203213601198,1,84,24766,11804,78.9,176183,Arlington,VA,Arlington County,38.91,-77.12
20815,0.9935682849454404,1,85,23968,12953,84,150313,Chevy Chase,MD,Montgomery County,38.98,-77.08
77401,0.9935629596217275,1,86,14025,7011,79.3,172205,Bellaire,TX,Harris County,29.7,-95.46
07423,0.993515267874439,1,87,2974,1449,78.6,176518,Ho Ho Kus,NJ,Bergen County,41,-74.1
60603,0.9934208650361842,1,88,1139,563,95.1,140114,Chicago,IL,Cook County,41.88,-87.63
45174,0.9933200314788051,1,89,1588,798,80.7,159605,Terrace Park,OH,Hamilton County,39.16,-84.31
60045,0.9933141899423426,1,90,15634,7317,78.4,176108,Lake Forest,IL,Lake County,42.23,-87.85
60606,0.9932746022915165,1,91,2772,1979,95.4,139179,Chicago,IL,Cook County,41.88,-87.64
60521,0.9932722149924273,1,92,12622,5913,79.3,166936,Hinsdale,IL,DuPage County,41.8,-87.92
10004,0.9932592155030391,1,93,2572,1587,90.5,140450,New York,NY,New York County,40.69,-74.02
07310,0.9931689251103892,1,94,11786,5796,83.7,147357,Jersey City,NJ,Hudson County,40.73,-74.04
01773,0.9931309033542048,1,95,3791,2008,81.8,153500,Lincoln,MA,Middlesex County,42.41,-71.3
01776,0.9931159080393879,1,96,13180,6226,78.5,170945,Sudbury,MA,Middlesex County,42.36,-71.4
02482,0.9930228043612034,1,97,8224,3922,79.5,160644,Wellesley,MA,Norfolk County,42.29,-71.3
04575,0.9930035718616921,1,98,65,34,93.3,138333,West Boothbay Harbor,ME,Lincoln County,43.85,-69.65
22182,0.9929990294853002,1,99,19727,8888,77.6,177853,Vienna,VA,Fairfax County,38.94,-77.27
94707,0.9929950590351766,1,100,9821,4896,85.4,143297,Berkeley,CA,Alameda County,37.9,-122.28
22027,0.9929491826607089,1,101,1825,658,75.6,211316,Dunn Loring,VA,Fairfax County,38.89,-77.22
55424,0.9928780729983924,1,102,6937,3483,78.4,167527,Minneapolis,MN,Hennepin County,44.91,-93.34
20016,0.9928480305995808,1,103,28634,13757,86.9,140545,Washington,DC,District of Columbia,38.94,-77.09
30327,0.992840283463994,1,104,17630,9333,82.5,148480,Atlanta,GA,Fulton County,33.86,-84.42
22124,0.9928368637394054,1,105,13829,6707,78.6,164955,Oakton,VA,Fairfax County,38.89,-77.3
94301,0.9927066114786616,1,106,13544,7098,82.6,146488,Palo Alto,CA,Santa Clara County,37.44,-122.15
06840,0.9926543600985887,1,107,14337,7042,77.1,174677,New Canaan,CT,Fairfield County,41.14,-73.49
95070,0.9926346458991128,1,108,24570,11043,77.3,173739,Saratoga,CA,Santa Clara County,37.25,-122.06
15142,0.9926151811778154,1,109,878,514,78.5,161750,Presto,PA,Allegheny County,40.38,-80.12
06897,0.992578815542577,1,110,13228,5985,76.5,180677,Wilton,CT,Fairfield County,41.18,-73.42
08502,0.9925688960732943,1,111,8299,3635,76.3,182837,Belle Mead,NJ,Somerset County,40.46,-74.64
60091,0.9925036279474406,1,112,19381,9600,81.7,148462,Wilmette,IL,Cook County,42.07,-87.72
06880,0.9923750663204276,1,113,20424,9962,76.3,178421,Westport,CT,Fairfield County,41.12,-73.34
22301,0.9923188272338388,1,114,10186,5555,82,145893,Alexandria,VA,Alexandria city,38.82,-77.06
90077,0.9921577111698363,1,115,7082,3370,75.6,184722,Los Angeles,CA,Los Angeles County,34.1,-118.45
10576,0.9921476669614644,1,116,4034,1974,75,195167,Pound Ridge,NY,Westchester County,41.21,-73.57
06890,0.9921325296511657,1,117,3236,1633,75.5,186488,Southport,CT,Fairfield County,41.14,-73.28
21029,0.9921092537316196,1,118,8209,3450,75.6,182045,Clarksville,MD,Howard County,39.2,-76.94
07670,0.9920652311870981,1,119,10264,4683,79.2,153906,Tenafly,NJ,Bergen County,40.91,-73.95
21056,0.9919874068146941,1,120,219,109,76.3,170966,Gibson Island,MD,Anne Arundel County,39.07,-76.42
11568,0.9919397150674059,1,121,3869,1044,75.8,175833,Old Westbury,NY,Nassau County,40.78,-73.59
11765,0.9918889778127968,1,122,579,247,74,206250,Mill Neck,NY,Nassau County,40.88,-73.55
07928,0.991797904472826,1,123,13465,6410,75.7,173929,Chatham,NJ,Morris County,40.74,-74.38
20148,0.9917477909136634,1,124,30271,14185,76.2,167083,Ashburn,VA,Loudoun County,39,-77.52
95030,0.9916765737686504,1,125,10304,5098,75.1,180222,Los Gatos,CA,Santa Clara County,37.22,-121.99
11109,0.9916418124851796,1,126,4681,2891,85.3,137452,Long Island City,NY,Queens County,40.75,-73.96
89450,0.9915558322471356,1,127,84,45,86.9,135469,Incline Village,NV,Washoe County,39.24,-119.94
10069,0.9915152639399878,1,128,4077,2574,85.1,137105,New York,NY,New York County,40.78,-73.99
22181,0.9914752291019826,1,129,11310,5283,77.1,158172,Vienna,VA,Fairfax County,38.91,-77.29
07450,0.9914265221855874,1,130,17808,8359,76.1,162201,Ridgewood,NJ,Bergen County,40.98,-74.11
21794,0.9913719737327296,1,131,1866,864,73.4,196618,West Friendship,MD,Howard County,39.3,-76.95
60029,0.9912764482426709,1,132,344,149,75.5,167813,Golf,IL,Cook County,42.06,-87.78
21737,0.9912652641261028,1,133,1543,656,73.8,187391,Glenelg,MD,Howard County,39.25,-77.03
10580,0.9912142601369227,1,134,12257,5954,74.4,178333,Rye,NY,Westchester County,40.98,-73.69
60558,0.991175704911596,1,135,9000,4376,78.1,150880,Western Springs,IL,Cook County,41.8,-87.9
66224,0.9911646455341174,1,136,9131,4491,76.7,156180,Overland Park,KS,Johnson County,38.86,-94.63
21738,0.9911458390210517,1,137,2597,1114,73.4,189833,Glenwood,MD,Howard County,39.28,-77.02
63005,0.9911123768976519,1,138,13080,6337,75.9,160354,Chesterfield,MO,St. Louis County,38.65,-90.58
94920,0.9910433148299418,1,139,9987,5394,76,159423,Belvedere Tiburon,CA,Marin County,37.89,-122.47
92657,0.9910153545385217,1,140,8074,3912,72.6,215000,Newport Coast,CA,Orange County,33.6,-117.82
30573,0.9910023205363478,1,141,232,81,89.6,132250,Tallulah Falls,GA,Rabun County,34.75,-83.42
20861,0.9909999677500445,1,142,1490,551,72.2,250001,Ashton,MD,Montgomery County,39.15,-76.98
90094,0.9909982598599204,1,143,6891,3874,84.1,136250,Playa Vista,CA,Los Angeles County,33.98,-118.42
63124,0.9909064553418069,1,144,8261,4644,78,149423,Saint Louis,MO,St. Louis County,38.64,-90.38
95014,0.9908525305843955,1,145,46021,21489,77.5,150529,Cupertino,CA,Santa Clara County,37.3,-122.09
10546,0.9908497518116461,1,146,1096,480,73.7,178611,Millwood,NY,Westchester County,41.2,-73.8
91011,0.990545900210261,1,147,15309,6590,75.1,160288,La Canada Flintridge,CA,Los Angeles County,34.22,-118.21
11753,0.9904748078043372,1,148,9585,4253,74.3,166272,Jericho,NY,Nassau County,40.78,-73.54
92130,0.9904176782877305,1,149,38830,19126,79.2,141926,San Diego,CA,San Diego County,32.95,-117.19
02492,0.9903158123048523,1,150,14802,7063,77,147375,Needham,MA,Norfolk County,42.28,-71.24
10577,0.9903106289766215,1,151,5638,790,71.8,213173,Purchase,NY,Westchester County,41.03,-73.71
94123,0.9902478728889454,1,152,22624,13951,82.7,134809,San Francisco,CA,San Francisco County,37.8,-122.43
01451,0.9902209277666325,1,153,3410,1645,78.2,143625,Harvard,MA,Worcester County,42.5,-71.58
06877,0.9902033859008526,1,154,18087,9104,76,151250,Ridgefield,CT,Fairfield County,41.27,-73.49
63131,0.9901472888097453,1,155,13190,6331,78,144159,Saint Louis,MO,St. Louis County,38.62,-90.44
07945,0.9900814315012304,1,156,6660,3090,73.1,171571,Mendham,NJ,Morris County,40.76,-74.59
06903,0.9900521893061325,1,157,11355,4935,71.8,203861,Stamford,CT,Fairfield County,41.14,-73.57
94507,0.9900198843473214,1,158,12059,5455,71.8,202336,Alamo,CA,Contra Costa County,37.85,-122.02
94114,0.9900090399352357,1,159,30741,17000,77.7,143902,San Francisco,CA,San Francisco County,37.75,-122.43
98074,0.9899542420041996,1,160,18973,9067,73.9,160618,Sammamish,WA,King County,47.62,-122.02
20197,0.9899452129649347,1,161,1391,654,73.7,162188,Waterford,VA,Loudoun County,39.2,-77.63
04110,0.9899317317755818,1,162,1094,557,73.5,162227,Cumberland Foreside,ME,Cumberland County,43.75,-70.2
80025,0.9899122152851063,1,163,351,109,96.2,126806,Eldorado Springs,CO,Boulder County,39.94,-105.28
01890,0.9899034874931981,1,164,16268,7928,75.5,152196,Winchester,MA,Middlesex County,42.45,-71.14
80238,0.9898330015263277,1,165,11244,6281,81.2,135819,Denver,CO,Denver County,39.76,-104.87
20818,0.9897400398436251,1,166,1522,793,78.5,139904,Cabin John,MD,Montgomery County,38.97,-77.16
06878,0.9897235476597371,1,167,5598,2562,71.3,207500,Riverside,CT,Fairfield County,41.03,-73.58
78746,0.989699204801906,1,168,21056,10848,80.8,136138,Austin,TX,Travis County,30.3,-97.81
10022,0.989600758543616,1,169,28198,17873,82.2,133208,New York,NY,New York County,40.76,-73.97
07677,0.9894999422426302,1,170,4436,2053,73.1,161250,Woodcliff Lake,NJ,Bergen County,41.02,-74.05
66221,0.9894727131293534,1,171,11681,5688,75.3,149461,Overland Park,KS,Johnson County,38.86,-94.71
07452,0.9894137125264076,1,172,8551,3901,72.9,162443,Glen Rock,NJ,Bergen County,40.96,-74.13
94065,0.9892037302941353,1,173,9836,5160,72.9,160313,Redwood City,CA,San Mateo County,37.53,-122.24
66206,0.989185263485552,1,174,7756,4046,77.7,139286,Leawood,KS,Johnson County,38.96,-94.62
08540,0.9891794046926967,1,175,38184,17643,79.4,135975,Princeton,NJ,Mercer County,40.35,-74.65
90266,0.9891791724709111,1,176,26764,13529,74.9,148899,Manhattan Beach,CA,Los Angeles County,33.88,-118.4
11030,0.9891475257203316,1,177,13532,6206,71.5,182000,Manhasset,NY,Nassau County,40.79,-73.69
10014,0.9891408494673698,1,178,28781,18481,85.1,127973,New York,NY,New York County,40.73,-74.01
10510,0.9890869764791368,1,179,8107,3578,72.7,160944,Briarcliff Manor,NY,Westchester County,41.13,-73.84
07704,0.9890799777780855,1,180,3918,1889,73.1,158264,Fair Haven,NJ,Monmouth County,40.36,-74.03
95604,0.9889151234857453,1,181,106,60,77.4,138654,Auburn,CA,Placer County,39.24,-120.07
75205,0.9889072170982836,1,182,18684,9061,82.7,129406,Dallas,TX,Dallas County,32.84,-96.8
78739,0.9889000034318395,1,183,13502,6367,74.6,147736,Austin,TX,Travis County,30.18,-97.89
07028,0.9886840721804079,1,184,5269,2490,70.3,195714,Glen Ridge,NJ,Essex County,40.8,-74.2
28207,0.9886709134391446,1,185,7617,3819,81.1,131164,Charlotte,NC,Mecklenburg County,35.19,-80.83
98040,0.9886702897436983,1,186,18847,9867,78.2,136644,Mercer Island,WA,King County,47.56,-122.22
21071,0.9886615446953975,1,187,365,172,72.5,159318,Glyndon,MD,Baltimore County,39.47,-76.81
94582,0.9885892951248849,1,188,27534,13143,73.6,149859,San Ramon,CA,Contra Costa County,37.76,-121.93
20194,0.9885086229541606,1,189,10036,5558,81.9,129365,Reston,VA,Fairfax County,38.98,-77.34
19096,0.9884861127255429,1,190,10140,5322,81.5,130192,Wynnewood,PA,Montgomery County,39.99,-75.27
91108,0.9884401116119861,1,191,10442,4684,73,152553,San Marino,CA,Los Angeles County,34.12,-118.11
33158,0.9884247248235087,1,192,4807,2046,72.7,154868,Miami,FL,Miami-Dade County,25.64,-80.31
98075,0.9884081981268353,1,193,16722,7740,71.7,163409,Sammamish,WA,King County,47.58,-122.03
94506,0.9882999743947447,1,194,17744,8221,70.2,186378,Danville,CA,Contra Costa County,37.78,-121.88
11576,0.9882989419692454,1,195,9518,4662,72.3,158125,Roslyn,NY,Nassau County,40.8,-73.65
77094,0.9882540462510989,1,196,6718,3167,72.2,158160,Houston,TX,Harris County,29.77,-95.68
94539,0.988198215894563,1,197,39333,16274,71.7,160542,Fremont,CA,Alameda County,37.51,-121.89
02108,0.9880997178670946,1,198,3644,1888,83.6,126224,Boston,MA,Suffolk County,42.36,-71.06
02052,0.9880962079162028,1,199,8801,4189,72.5,153847,Medfield,MA,Norfolk County,42.18,-71.3
48301,0.9879974949233415,1,200,11025,5512,75.5,139673,Bloomfield Hills,MI,Oakland County,42.54,-83.28
78732,0.987812319992472,1,201,11372,5689,74.2,142612,Austin,TX,Travis County,30.38,-97.9
94618,0.9877980558557977,1,202,13571,7054,78.2,133125,Oakland,CA,Alameda County,37.84,-122.23
19435,0.9877855725791591,1,203,112,43,83,125924,Frederick,PA,Montgomery County,40.33,-75.57
01810,0.9876677133687501,1,204,26343,12369,73.7,143292,Andover,MA,Essex County,42.65,-71.14
76092,0.9876012323647889,1,205,20203,9154,68.8,207127,Southlake,TX,Tarrant County,32.95,-97.14
07931,0.9876005914129498,1,206,2357,1084,69.3,186571,Far Hills,NJ,Somerset County,40.69,-74.62
60015,0.9875439608527004,1,207,20308,9612,74,141268,Deerfield,IL,Lake County,42.16,-87.84
20007,0.9875392074552556,1,208,23559,11885,86.6,123154,Washington,DC,District of Columbia,38.91,-77.08
07401,0.9875369794080419,1,209,4908,2279,72,151875,Allendale,NJ,Bergen County,41.03,-74.13
07090,0.987506081091998,1,210,21745,10591,71,159923,Westfield,NJ,Union County,40.65,-74.34
44040,0.987404197852727,1,211,2588,1181,72.1,150625,Gates Mills,OH,Cuyahoga County,41.53,-81.41
94556,0.9873896842378745,1,212,12324,5747,74.3,139904,Moraga,CA,Contra Costa County,37.83,-122.1
10075,0.9871071857005181,1,213,19099,11373,78.5,129594,New York,NY,New York County,40.77,-73.95
94549,0.9870538116686423,1,214,22306,10987,71,155225,Lafayette,CA,Contra Costa County,37.9,-122.11
02142,0.9870145637222979,1,215,2719,1326,91.8,120729,Cambridge,MA,Middlesex County,42.36,-71.08
20171,0.9869863884654853,1,216,36978,16795,73,142349,Herndon,VA,Fairfax County,38.92,-77.4
13087,0.9869778756389702,1,217,141,78,71.9,147907,Little York,NY,Cortland County,42.71,-76.15
02025,0.986903079517494,1,218,6165,3046,73.3,140000,Cohasset,MA,Norfolk County,42.23,-70.8
10021,0.9868675525430948,1,219,38098,24912,82.8,123842,New York,NY,New York County,40.77,-73.96
01720,0.9867746081167849,1,220,17040,8476,76.1,133075,Acton,MA,Middlesex County,42.48,-71.46
20124,0.9867245463268006,1,221,12384,5011,68.9,176829,Clifton,VA,Fairfax County,38.77,-77.38
94117,0.9867082173391275,1,222,39692,18262,76.2,132979,San Francisco,CA,San Francisco County,37.77,-122.45
10065,0.9866331544830802,1,223,25441,15878,82,124322,New York,NY,New York County,40.76,-73.96
06060,0.9865909645677721,1,224,1773,781,74,137464,North Granby,CT,Hartford County,42.01,-72.84
20008,0.9865603886998175,1,225,25820,15611,89.6,120342,Washington,DC,District of Columbia,38.94,-77.06
06092,0.9865572702225864,1,226,3069,1451,72.6,142111,West Simsbury,CT,Hartford County,41.87,-72.84
19425,0.9865226854473831,1,227,10505,5096,71.4,148730,Chester Springs,PA,Chester County,40.1,-75.64
10533,0.9865177170845454,1,228,5346,2549,72.4,142869,Irvington,NY,Westchester County,41.03,-73.86
10024,0.9865097934406908,1,229,49057,28418,79.8,126107,New York,NY,New York County,40.8,-73.97
21042,0.9864955983295881,1,230,30111,13715,70.8,151354,Ellicott City,MD,Howard County,39.27,-76.83
95120,0.9864499541769061,1,231,28582,12683,68.9,171908,San Jose,CA,Santa Clara County,37.19,-121.83
48070,0.9863644211260407,1,232,4593,2447,79.8,125873,Huntington Woods,MI,Oakland County,42.48,-83.16
07030,0.9862958752710804,1,233,46783,24812,78.2,127523,Hoboken,NJ,Hudson County,40.75,-74.03
10536,0.9862884293828504,1,234,8196,3519,68.9,168490,Katonah,NY,Westchester County,41.26,-73.68
73151,0.9862533283948973,1,235,1326,572,68.6,172500,Oklahoma City,OK,Oklahoma County,35.57,-97.42
10023,0.986230998618887,1,236,52999,33133,81.2,123951,New York,NY,New York County,40.78,-73.98
19312,0.9862059418393057,1,237,8707,4364,81.6,123587,Berwyn,PA,Chester County,40.03,-75.44
19087,0.986189432399025,1,238,25095,11942,75.8,131623,Wayne,PA,Chester County,40.06,-75.4
12433,0.9861626120158015,1,239,463,236,73,138134,Glenford,NY,Ulster County,42,-74.15
20152,0.9859901698397493,1,240,22009,9937,70.2,151230,Chantilly,VA,Loudoun County,38.92,-77.5
64113,0.9858870949231037,1,241,9255,4913,80.3,124462,Kansas City,MO,Jackson County,39.01,-94.6
90274,0.9858785091266776,1,242,19670,9175,69.2,158497,Palos Verdes Peninsula,CA,Los Angeles County,33.77,-118.34
66220,0.9858323142484604,1,243,5180,2661,72.8,137651,Lenexa,KS,Johnson County,38.96,-94.82
21652,0.9857329603037599,1,244,125,75,76.8,127639,Neavitt,MD,Talbot County,38.72,-76.28
07920,0.9857239485208877,1,245,19695,9640,73.3,135365,Basking Ridge,NJ,Somerset County,40.67,-74.56
22201,0.9857101660841778,1,246,33078,18605,84.4,120493,Arlington,VA,Arlington County,38.89,-77.1
90402,0.9856695248071194,1,247,9317,4967,71.9,140179,Santa Monica,CA,Los Angeles County,34.03,-118.5
02067,0.9856496686121614,1,248,13143,6220,74.1,133229,Sharon,MA,Norfolk County,42.11,-71.18
60564,0.9856208178907242,1,249,29431,13138,71.3,143084,Naperville,IL,Will County,41.71,-88.19
02090,0.9855747822643818,1,250,11428,5528,70.5,146042,Westwood,MA,Norfolk County,42.21,-71.21
07641,0.9855585223022797,1,251,2589,1127,68.1,170417,Haworth,NJ,Bergen County,40.96,-73.99
94941,0.9855446151264806,1,252,24272,13182,73.9,133462,Mill Valley,CA,Marin County,37.89,-122.56
94127,0.985485631779928,1,253,16841,7548,69.7,151094,San Francisco,CA,San Francisco County,37.74,-122.46
19807,0.9854396691234962,1,254,5643,3017,77.6,126031,Wilmington,DE,New Castle County,39.8,-75.61
78733,0.9853719062158572,1,255,6001,2920,72.7,136563,Austin,TX,Travis County,30.32,-97.88
94306,0.9852117535517833,1,256,21213,10783,77.7,125553,Palo Alto,CA,Santa Clara County,37.41,-122.13
07039,0.9851479610942677,1,257,22424,9931,69,153381,Livingston,NJ,Essex County,40.78,-74.32
02465,0.9850782408183258,1,258,8950,4296,72.1,137438,West Newton,MA,Middlesex County,42.35,-71.22
92014,0.9850055997741526,1,259,11498,6104,75.1,128679,Del Mar,CA,San Diego County,32.96,-117.25
20814,0.9849676682442716,1,260,23500,12925,82.1,120632,Bethesda,MD,Montgomery County,39,-77.1
02109,0.9849264934980706,1,261,3777,1943,74.6,129716,Boston,MA,Suffolk County,42.37,-71.05
95134,0.984906405081327,1,262,20034,10159,73.2,132891,San Jose,CA,Santa Clara County,37.42,-121.94
60035,0.9848942057956522,1,263,22214,11497,71.9,137413,Highland Park,IL,Lake County,42.18,-87.8
38139,0.9848509661984517,1,264,11616,5557,71.5,138244,Germantown,TN,Shelby County,35.08,-89.76
