type,text
advert,"The Google Advertising & Marketing Index tracks queries related to marketing, advertising, ads, adsense, constant contact, public relations, etc."
educat,"The Google Education Index tracks queries related to college, education, test, academy, barnes and noble, harvard, etc."
smallbiz,"The Google Small Business Index tracks queries related to small business, make money, franchise, work from home, chamber or commerce, etc."
travel,"The Google Travel Index tracks queries related to airlines, hotels, beach, southwest, las vegas, flights, etc."
unempl,"The Google Unemployment Index tracks queries related to unemployment, food stamps, social security, edd, disability, etc."
